2023-03-10 11:12:33,037 INFO    Thread-77 (_run_job):82468 [wandb_setup.py:_flush():76] Configure stats pid to 82468
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_setup.py:_flush():76] Loading settings from /Users/crysiswar999/.config/wandb/settings
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_setup.py:_flush():76] Loading settings from /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/settings
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'CS6910_DL_assignment_1', 'entity': 'cs22m031', 'root_dir': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1', 'run_id': 'vt877r8g', 'sweep_param_path': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/sweep-s0p0ts93/config-vt877r8g.yaml', 'sweep_id': 's0p0ts93'}
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:_log_setup():506] Logging user logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230310_111233-vt877r8g/logs/debug.log
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230310_111233-vt877r8g/logs/debug-internal.log
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x28d4e7e20>
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():546] calling init triggers
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():552] wandb.init called with sweep_config: {'activation': 'relu', 'batchsize': 64, 'eta': 0.001, 'initialization': 'uniform', 'loss': 'cross', 'max_epochs': 5, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 3, 'no_of_neurons': 128, 'optimizer': 'nesterov', 'weight_decay': 0.0005}
config: {}
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():602] starting backend
2023-03-10 11:12:33,038 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():606] setting up manager
2023-03-10 11:12:33,044 INFO    Thread-77 (_run_job):82468 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-10 11:12:33,045 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():613] backend started and connected
2023-03-10 11:12:33,047 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_config_callback():1249] config_cb None None {'activation': 'relu', 'batchsize': 64, 'eta': 0.001, 'initialization': 'uniform', 'loss': 'cross', 'max_epochs': 5, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 3, 'no_of_neurons': 128, 'optimizer': 'nesterov', 'weight_decay': 0.0005}
2023-03-10 11:12:33,057 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-10 11:12:33,057 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-10 11:12:33,057 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():701] updated telemetry
2023-03-10 11:12:33,085 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-10 11:12:33,837 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_on_init():2131] communicating current version
2023-03-10 11:12:33,899 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_on_init():2140] got version response 
2023-03-10 11:12:33,899 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():789] starting run threads in backend
2023-03-10 11:12:33,974 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_console_start():2112] atexit reg
2023-03-10 11:12:33,974 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-10 11:12:33,974 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-10 11:12:33,974 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-10 11:12:33,975 INFO    Thread-77 (_run_job):82468 [wandb_init.py:init():831] run started, returning control to user process
2023-03-10 11:14:40,423 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_finish():1852] finishing run cs22m031/CS6910_DL_assignment_1/vt877r8g
2023-03-10 11:14:40,425 INFO    Thread-77 (_run_job):82468 [jupyter.py:save_history():445] not saving jupyter history
2023-03-10 11:14:40,425 INFO    Thread-77 (_run_job):82468 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-10 11:14:40,425 INFO    Thread-77 (_run_job):82468 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-10 11:14:40,425 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2023-03-10 11:14:40,425 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_restore():2064] restore
2023-03-10 11:14:40,425 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_restore():2070] restore done
2023-03-10 11:14:44,793 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2023-03-10 11:14:44,794 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2023-03-10 11:14:44,798 INFO    Thread-77 (_run_job):82468 [wandb_run.py:_footer_sync_info():3387] logging synced files
